avg_assists_per_game,avg_clean_sheet,avg_goals_against,avg_goals_scored,avg_own_goals,avg_red_cards_,avg_saves,avg_successful_tackles,avg_yellow_cards,current_value,gameweek_1_points,gameweek_2_points,gameweek_3_points,matches_played,player_id,total_assists_per_game,total_clean_sheet,total_goals_against,total_goals_scored,total_own_goals,total_red_cards_,total_saves,total_successful_tackles,total_yellow_cards
0.0,,,0.0,0.0,0.0,,0.0,0.0,3.9,0.00,0.00,,2,727,0,,,0,0,0,,0,0
0.0,0.3,0.7,0.0,0.0,0.0,4.3,0.0,0.0,3.9,4.00,7.00,4.00,3,405,0,1,2,0,0,0,13,0,0
1.0,0.0,,0.0,0.0,0.0,,0.0,1.0,3.9,0.00,5.00,0.00,1,191,1,0,,0,0,0,,0,1
0.0,0.3,1.7,0.0,0.0,0.0,,0.7,0.7,3.9,4.00,-2.00,-3.00,3,104,0,1,5,0,0,0,,2,2
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,1008,0,0,0,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,988,0,0,,0,0,0,,0,0
0.3,,,0.0,0.0,0.0,,0.0,0.0,3.8,6.00,0.00,0.00,3,975,1,,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,972,0,0,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,958,0,0,,0,0,0,,0,0
-,,,-,-,-,,-,-,3.8,0.00,0.00,,0,943,0,,,0,0,0,,0,0
-,,,-,-,-,,-,-,3.8,0.00,0.00,,0,942,0,,,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.8,0.00,0.00,,2,934,0,0,,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,932,0,0,0,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,927,0,0,0,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,925,0,0,0,0,0,0,,0,0
-,-,-,-,-,-,-,-,-,3.8,0.00,0.00,,0,922,0,0,0,0,0,0,0,0,0
0.0,,,0.0,0.0,0.0,,2.3,0.0,3.8,1.00,3.00,3.00,3,914,0,,,0,0,0,,7,0
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,901,0,0,0,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,795,0,0,,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.8,0.00,0.00,,0,767,0,0,0,0,0,0,,0,0
0.0,0.5,0.5,0.0,0.0,0.0,,0.0,0.0,3.8,-1.00,4.00,0.00,2,740,0,1,1,0,0,0,,0,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,3.8,0.00,0.00,0.00,3,696,0,,,0,0,0,,0,0
0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,3.8,-2.00,-1.00,0.00,2,615,0,0,3,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,610,0,0,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,472,0,0,,0,0,0,,0,0
0.0,0.3,1.3,0.0,0.0,0.0,3.0,0.0,0.0,3.8,2.00,2.00,5.00,3,179,0,1,4,0,0,0,9,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,88,0,0,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.8,0.00,0.00,,0,16,0,0,,0,0,0,,0,0
0.0,0.5,0.5,0.0,0.0,0.0,,1.0,0.0,3.7,0.00,5.00,0.00,2,1015,0,1,1,0,0,0,,2,0
-,,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,998,0,,,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,993,0,0,0,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,3.7,0.00,0.00,,1,976,0,0,,0,0,0,,1,1
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,966,0,0,,0,0,0,,0,0
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,950,0,0,0,0,0,0,,0,0
0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,3.7,0.00,-3.00,,1,930,0,0,3,0,0,0,,0,0
0.0,,,0.0,0.0,0.0,,0.5,0.0,3.7,0.00,1.00,,2,765,0,,,0,0,0,,1,0
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,745,0,0,0,0,0,0,,0,0
0.0,0.0,2.0,0.0,0.0,0.0,,0.5,0.0,3.7,-1.00,0.00,-2.00,2,741,0,0,4,0,0,0,,1,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,3.7,0.00,0.00,0.00,2,675,0,,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,673,0,0,,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,2.5,0.0,3.7,0.00,2.00,3.00,2,636,0,0,,0,0,0,,5,0
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,572,0,0,0,0,0,0,,0,0
0.0,0.5,1.0,0.0,0.0,0.0,,0.5,0.0,3.7,0.00,-2.00,5.00,2,568,0,1,2,0,0,0,,1,0
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,544,0,0,0,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,522,0,0,,0,0,0,,0,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,3.7,0.00,0.00,0.00,1,515,0,,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,451,0,0,,0,0,0,,0,0
-,-,-,-,-,-,-,-,-,3.7,0.00,0.00,0.00,0,438,0,0,0,0,0,0,0,0,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.7,0.00,0.00,0.00,1,403,0,0,,0,0,0,,0,0
-,-,-,-,-,-,-,-,-,3.7,0.00,0.00,0.00,0,329,0,0,0,0,0,0,0,0,0
0.0,,,0.0,0.0,0.0,,0.0,0.5,3.7,0.00,0.00,-1.00,2,323,0,,,0,0,0,,0,1
0.0,0.0,1.5,0.0,0.0,0.0,,3.0,0.5,3.7,-1.00,3.00,0.00,2,304,0,0,3,0,0,0,,6,1
-,-,-,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,219,0,0,0,0,0,0,,0,0
0.0,0.3,1.3,0.0,0.0,0.0,,0.7,0.0,3.7,-1.00,5.00,-2.00,3,208,0,1,4,0,0,0,,2,0
-,-,-,-,-,-,-,-,-,3.7,0.00,0.00,0.00,0,203,0,0,0,0,0,0,0,0,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,195,0,0,,0,0,0,,0,0
0.0,0.3,1.3,0.0,0.0,0.0,,3.0,0.3,3.7,1.00,2.00,5.00,3,185,0,1,4,0,0,0,,9,1
0.0,0.0,,0.0,0.0,0.0,,0.5,0.0,3.7,0.00,1.00,0.00,2,173,0,0,,0,0,0,,1,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,163,0,0,,0,0,0,,0,0
-,-,,-,-,-,,-,-,3.7,0.00,0.00,0.00,0,137,0,0,,0,0,0,,0,0
0.3,0.0,,0.0,0.0,0.0,,1.0,0.0,3.7,1.00,6.00,2.00,3,121,1,0,,0,0,0,,3,0
-,-,-,-,-,-,-,-,-,3.7,0.00,0.00,0.00,0,97,0,0,0,0,0,0,0,0,0
0.0,0.0,2.5,0.0,0.0,0.0,,2.0,0.0,3.7,-2.00,1.00,,2,87,0,0,5,0,0,0,,4,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.7,0.00,0.00,0.00,1,24,0,0,,0,0,0,,0,0
0.0,0.3,0.7,0.0,0.0,0.0,,0.7,0.3,3.7,0.00,4.00,-1.00,3,6,0,1,2,0,0,0,,2,1
-,-,-,-,-,-,,-,-,3.6,,,0.00,0,1030,0,0,0,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.6,0.00,0.00,0.00,1,991,0,0,,0,0,0,,0,0
0.0,0.0,2.0,0.0,0.0,1.0,,1.0,0.0,3.6,-3.00,0.00,0.00,1,965,0,0,2,0,0,1,,1,0
0.0,0.0,2.5,0.0,0.0,0.0,,1.5,0.5,3.6,-2.00,-1.00,,2,955,0,0,5,0,0,0,,3,1
0.0,0.0,2.5,0.0,0.0,0.0,3.0,0.0,0.0,3.6,0.00,1.00,,2,953,0,0,5,0,0,0,6,0,0
0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,3.6,0.00,2.00,0.00,2,952,0,0,,0,0,0,,2,0
0.0,0.0,2.5,0.0,0.0,0.0,,0.5,0.0,3.6,-1.00,-3.00,,2,924,0,0,5,0,0,0,,1,0
0.0,0.3,1.0,0.0,0.0,0.0,,0.7,0.0,3.6,-1.00,-1.00,5.00,3,859,0,1,3,0,0,0,,2,0
0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-1.00,-2.00,,2,775,0,0,3,0,0,0,0,0,0
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,3.6,-3.00,0.00,0.00,1,760,0,0,2,0,0,0,,0,1
0.0,0.3,1.0,0.0,0.0,0.0,,0.3,0.0,3.6,-2.00,-1.00,5.00,3,595,0,1,3,0,0,0,,1,0
0.0,0.0,2.0,0.0,0.0,0.0,,0.5,0.0,3.6,0.00,-1.00,-2.00,2,482,0,0,4,0,0,0,,1,0
0.0,0.0,2.5,0.0,0.0,0.0,,1.0,0.0,3.6,-1.00,-2.00,,2,70,0,0,5,0,0,0,,2,0
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,3.6,-2.00,-2.00,,2,17,0,0,4,0,0,0,,0,0
0.0,0.0,2.5,0.0,0.0,0.0,,0.0,0.0,3.5,-2.00,-3.00,,2,954,0,0,5,0,0,0,,0,0
0.0,0.0,2.5,0.0,0.0,0.0,,1.0,0.5,3.5,-2.00,0.00,-2.00,2,909,0,0,5,0,0,0,,2,1
0.0,0.0,2.0,0.0,0.0,0.0,2.7,0.0,0.0,3.5,-2.00,1.00,3.00,3,906,0,0,6,0,0,0,8,0,0
0.0,0.0,2.5,0.0,0.0,0.0,,0.0,1.0,3.4,-3.00,-4.00,,2,983,0,0,5,0,0,0,,0,2
0.0,0.3,,0.0,0.0,0.0,,0.7,0.3,3.4,0.00,1.00,1.00,3,981,0,1,,0,0,0,,2,1
0.0,0.3,1.3,0.0,0.0,0.0,4.7,0.0,0.0,3.4,3.00,8.00,3.00,3,891,0,1,4,0,0,0,14,0,0
0.0,0.5,1.0,0.0,0.0,0.0,,2.0,0.0,3.4,0.00,2.00,4.00,2,799,0,1,2,0,0,0,,4,0
0.0,0.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.4,1.00,3.00,9.00,3,541,0,1,3,0,0,0,12,0,0
0.0,0.0,2.0,0.0,0.0,0.0,,1.3,0.0,3.4,2.00,-1.00,-3.00,3,402,0,0,6,0,0,0,,4,0
-,-,-,-,-,-,-,-,-,3.3,0.00,0.00,,0,945,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.3,0.00,0.00,,0,923,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.3,0.00,0.00,,0,634,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.3,0.00,0.00,,0,127,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,990,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,770,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,758,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,542,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,535,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,238,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,235,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,3.2,0.00,0.00,0.00,0,30,0,0,0,0,0,0,0,0,0
0.0,0.0,2.5,0.0,0.0,0.0,3.0,0.0,0.0,3.1,1.00,0.00,,2,28,0,0,5,0,0,0,6,0,0
